,ticker,sector,company_name,market_cap,market_category,analyst_consensus,stock_outstanding
1883,ARLO,consumergoods,Arlo Technologies,434704429,Small,ModerateBuy,79037168.9090909
1884,FIXX,healthcare,Homology Medicines,434538422,Small,ModerateBuy,45264418.958333336
1885,KBAL,consumergoods,Kimball International,434485049,Small,,36977450.97872341
1886,BTAQ,financial,Burgundy Technology Acquisition,434363125,Small,,44187500.0
1887,SBR,utilities,Sabine Royalty,434027100,Small,,14579344.97816594
1888,AGMH,financial,AGM Group Holdings,433943646,Small,,28891054.99334221
1889,PGC,financial,Peapack-Gladstone Financial,433603462,Small,ModerateBuy,18934648.99563319
1890,BIREF,utilities,Birchcliff Energy,433474050,Small,StrongBuy,265935000.00000003
1891,FLNG,utilities,FLEX LNG,433425777,Small,ModerateBuy,54110583.89513109
1892,SPRO,healthcare,Spero Therapeutics,432976176,Small,StrongBuy,27196995.979899496
1893,TTRKF,industrialgoods,Turk Traktor ve Ziraat Makineleri AS,432822590,Small,,
1894,FUSE,financial,Fusion Acquisition,431375000,Small,,43750000.0
1895,QEP,utilities,QEP Resources,431153595,Small,Hold,242221120.78651685
1896,CRNX,healthcare,Crinetics Pharmaceuticals,430294826,Small,StrongBuy,32922327.92654935
1897,HCAC,financial,Hennessy Capital Acquisition IV,429778817,Small,,37307188.97569445
1898,DGICA,financial,Donegal Group,429609454,Small,,29771964.934164934
1899,ALRS,financial,Alerus Financial,429245105,Small,Hold,17121862.983645793
1900,ECOGF,technology,Econocom Group SE,429052384,Small,,
1901,MAASF,consumergoods,Matas,428607748,Small,,
1902,FLIC,financial,The First Of Long Island,428533910,Small,ModerateBuy,23887062.9877369
1903,WIMI,technology,WiMi Hologram Cloud,428089965,Small,Hold,66784705.928237125
1904,WUYI,consumergoods,China WuYi Mountain,428000000,Small,,
1905,MCFT,consumergoods,MasterCraft Boat Holdings,427754268,Small,StrongBuy,18952337.97075764
1906,TDW,industrialgoods,Tidewater,426550726,Small,,40546646.95817491
1907,EPLYF,technology,EPS Holdings,426455550,Small,,44795751.05042017
1908,FLDM,healthcare,Fluidigm,426184278,Small,ModerateBuy,74119004.86956522
1909,ERES,financial,East Resources Acquisition,426075000,Small,,43125000.0
1910,AVDL,healthcare,Avadel Pharmaceuticals,425973685,Small,StrongBuy,58272733.926128596
1911,RYI,basicmaterials,Ryerson Holdings,425008976,Small,Hold,38117396.95067264
1912,FRPH,financial,FRP Holdings,423921508,Small,,9418384.981115308
1913,STTTF,financial,Splitit Payments,423673403,Small,,450716386.1702128
1914,CPSI,technology,Computer Programs and Systems,423463223,Small,ModerateBuy,14512104.969156956
1915,ELLO,utilities,Ellomay Capital Ordinary Sh,422579939,Small,,12751356.035003018
1916,HFFG,consumergoods,HF Foods Group,422575165,Small,,51913410.93366093
1917,CACAD,basicmaterials,Long Term Care Operations 360,422281125,Small,,211140562.5
1918,CSTE,basicmaterials,CaesarStone Sdot-Yam,422171824,Small,,34434895.92169657
1919,HCI,financial,HCI Group,422170994,Small,,7982056.986197769
1920,FFIC,financial,Flushing Financial,422147667,Small,,28218426.938502673
1921,BIIO,financial,Bionovate Technologies,421907545,Small,,59423597.887323946
1922,BCYC,healthcare,Bicycle Therapeutics,421835059,Small,StrongBuy,21304800.95959596
1923,TRUE,technology,TrueCar,421581161,Small,ModerateBuy,104094113.82716049
