,ticker,sector,company_name,market_cap,market_category,analyst_consensus,stock_outstanding
1487,ATCO,industrialgoods,Atlas,2932701308,Medium,ModerateBuy,246031988.9261745
1488,TXHPF,services,TechnoPro Holdings,2931586839,Medium,ModerateBuy,35397088.130886264
1489,MIC,financial,Macquarie Infrastructure Company,2929849641,Medium,ModerateBuy,87197905.98214285
1490,OSTK,consumergoods,Overstock,2926416956,Medium,StrongBuy,42765116.995469816
1491,LXP,financial,Lexington Realty,2924618547,Medium,ModerateBuy,276952513.92045456
1492,SAOGF,consumergoods,Seria Co,2919827911,Medium,,
1493,BZQIF,technology,Bezeq The Israel Telecommunication,2917587469,Medium,ModerateBuy,2604988811.6071424
1494,COHR,technology,Coherent,2912941228,Medium,ModerateBuy,24256317.994837206
1495,SZUKF,healthcare,Suzuken Co,2912502272,Medium,,
1496,URBN,consumergoods,Urban Outfitters,2910122698,Medium,Hold,97786380.98118278
1497,JJSF,consumergoods,J & J Snack Foods,2907046350,Medium,Hold,18915000.0
1498,WRI,financial,Weingarten,2901162908,Medium,ModerateBuy,128143237.98586573
1499,VETTF,utilities,Vector,2900000000,Medium,,
1500,TCBI,financial,Texas Capital Bancshares,2898895804,Medium,Hold,50459456.98868581
1501,SUBCY,industrialgoods,Subsea 7,2896361374,Medium,,297673316.95786226
1502,ADNT,industrialgoods,Adient,2891638934,Medium,ModerateBuy,93884380.97402596
1503,NMPNF,basicmaterials,Northam Platinum,2886475011,Medium,Hold,
1504,WOR,basicmaterials,Worthington Industries,2885720946,Medium,,54375747.99321651
1505,PPBI,financial,Pacific Premier Bancorp,2882538117,Medium,StrongBuy,94385661.98428291
1506,SOHVF,industrialgoods,Sumitomo Heavy Industries,2879137303,Medium,,
1507,ENR,consumergoods,Energizer Holdings,2878471805,Medium,StrongBuy,68518728.99309689
1508,YTLCF,utilities,YTL Bhd,2875461314,Medium,,
1509,INOV,technology,Inovalon,2873341451,Medium,Hold,155399753.9751217
1510,EPR,financial,EPR Properties,2872686355,Medium,Hold,74615230.0
1511,TRKNF,technology,Turk Telekomunikasyo,2870000000,Medium,,
1512,BLUE,healthcare,Bluebird Bio,2869318623,Medium,ModerateBuy,66373319.98612075
1513,HMSY,services,Hms Holdings,2857561229,Medium,StrongBuy,88551633.99442205
1514,BTVCY,consumergoods,Britvic,2857548873,Medium,,131744991.8395574
1515,FRZCF,financial,Frasers Centrepoint,2855509956,Medium,ModerateBuy,1660180206.9767442
1516,ATVXF,financial,Activia Properties,2854300024,Medium,,
1517,JTEKY,industrialgoods,JTEKT,2852359723,Medium,,113594572.79968141
1518,YFGSF,financial,Yamaguchi Financial Group,2851520100,Medium,,
1519,BNR,healthcare,Burning Rock Biotech,2849826952,Medium,,101779534.0
1520,RMGOF,consumergoods,Remgro,2847482976,Medium,,
1521,GATX,financial,GATX,2844100000,Medium,Hold,35000000.0
1522,BOX,technology,Box,2841287865,Medium,ModerateBuy,156544785.95041323
1523,JAZTF,technology,Jazztel,2841090073,Medium,,
1524,CRON,basicmaterials,Cronos Group,2838808931,Medium,Hold,356186816.9385195
1525,EXLS,technology,Exlservice Holdings,2838311722,Medium,Hold,33809549.99404407
1526,NGVT,basicmaterials,Ingevity,2834662852,Medium,StrongBuy,41279493.985728845
1527,SKLKF,financial,Shinsei Bank,2833569164,Medium,,220511218.98832685
1528,AKBLF,healthcare,ALK-abello,2832787375,Medium,,
1529,CSOD,technology,Cornerstone Ondemand,2832193591,Medium,ModerateBuy,64602955.99908759
1530,ELSSF,services,Elis SA,2831277350,Medium,StrongBuy,
1531,FOCS,financial,Focus Financial Partners,2828776173,Medium,StrongBuy,71505969.99494438
1532,CARG,technology,CarGurus,2827532459,Medium,ModerateBuy,113237182.9795755
1533,ALGT,industrialgoods,Allegiant Travel Company,2825054839,Medium,StrongBuy,16389480.99437257
1534,AATP,healthcare,Agape ATP,2823390352,Medium,,387828345.05494505
1535,ANGGF,basicmaterials,Angang Steel Co,2821575060,Medium,,
1536,TDBOF,industrialgoods,Toyota Boshoku,2821000712,Medium,,
1537,HRMY,healthcare,Harmony Biosciences Holdings,2819424341,Medium,ModerateBuy,56889110.99677159
1538,GOLF,consumergoods,Acushnet Holdings,2817990650,Medium,ModerateBuy,74294506.98655418
1539,ROG,basicmaterials,Rogers,2817804402,Medium,ModerateBuy,18675797.99840933
1540,SHALF,services,Shangri-La Asia,2817146992,Medium,,2934528116.666667
1541,LILA,services,Liberty Global LiLAC,2816557853,Medium,StrongBuy,232006412.93245468
1542,NNOKF,basicmaterials,NOK,2810789020,Medium,,
1543,CMPNF,financial,Champion Real Estate Investment,2807780240,Medium,,4841000413.793104
1544,BKU,financial,BankUnited,2803954312,Medium,ModerateBuy,92387291.99341021
1545,AWR,utilities,American States Water Company,2803937526,Medium,ModerateBuy,36889060.99197474
1546,KRRYF,industrialgoods,Kerry Logistics Network,2803491665,Medium,,
1547,BBU,services,Brookfield Business Partners,2793766485,Medium,StrongBuy,79913228.97597253
1548,AVIR,healthcare,Atea Pharmaceuticals,2792452470,Medium,StrongBuy,82616936.98224853
1549,BLKB,technology,Blackbaud,2790698893,Medium,ModerateBuy,49568363.99644761
1550,NIFCY,industrialgoods,Nifco,2790370461,Medium,,157915702.37691
1551,VSH,technology,Vishay Intertechnology,2784669541,Medium,ModerateBuy,144658157.97402596
1552,FHI,financial,Federated Hermes,2782302404,Medium,Hold,99367943.0
1553,LILAK,services,Liberty LiLAC Group,2781756891,Medium,Hold,232006412.92743954
1554,ACCD,technology,Accolade,2781679348,Medium,StrongBuy,55039163.98891967
1555,SGAMF,technology,Sega Sammy Holdings,2781122058,Medium,,193941566.1087866
1556,WERN,industrialgoods,Werner Enterprises,2778427604,Medium,ModerateBuy,69097925.98856007
1557,OSSFF,healthcare,Ossur hf,2776580517,Medium,,
1558,FCFS,financial,FirstCash,2776098961,Medium,ModerateBuy,41440497.99970145
1559,RVMD,healthcare,Revolution Medicines,2776019545,Medium,ModerateBuy,66380189.980870396
1560,ONB,financial,Old National Bancorp Capital,2775941070,Medium,Hold,165333000.0
1561,ESRT,financial,Empire State Realty,2772879713,Medium,Hold,287345047.97927463
1562,CIFAF,financial,CI Financial,2771868395,Medium,ModerateBuy,205933758.9153046
1563,BXS,financial,BancorpSouth,2768557629,Medium,ModerateBuy,102577162.98629123
1564,USM,technology,United States Cellular,2767762035,Medium,StrongBuy,86035500.0
1565,FUL,basicmaterials,HB Fuller,2767335104,Medium,Hold,51735559.992521964
1566,CAGDF,basicmaterials,Centerra Gold,2765555285,Medium,StrongBuy,295781313.9037433
1567,SIX,services,Six Flags,2762604838,Medium,ModerateBuy,84977078.99107967
1568,CDNA,healthcare,CareDx,2762344673,Medium,StrongBuy,49257215.995007135
1569,EGHSF,technology,Enghouse Systems,2760111440,Medium,ModerateBuy,69002786.0
1570,BVN,basicmaterials,Compania de Minas Buenaventura SAA,2755757506,Medium,,253986866.91244242
1571,SYNA,technology,Synaptics,2754555711,Medium,StrongBuy,34518241.9924812
1572,SHOO,consumergoods,Steven Madden,2753228550,Medium,ModerateBuy,83179110.27190332
1573,PCRX,healthcare,Pacira Pharmaceuticals,2752592768,Medium,StrongBuy,43443698.98989899
1574,CVBF,financial,Cvb Financial,2750763781,Medium,ModerateBuy,135505604.97536945
1575,LGIH,consumergoods,LGI Homes,2750755685,Medium,Hold,25100425.996897526
1576,EBC,financial,Eastern Bankshares,2747212445,Medium,StrongBuy,186758153.97688645
1577,PJT,financial,PJT Partners,2745236553,Medium,ModerateBuy,38384179.99161074
1578,AXSM,healthcare,Axsome Therapeutics,2741811237,Medium,ModerateBuy,37344200.99427949
1579,MIME,technology,Mimecast,2740979155,Medium,StrongBuy,63892287.995338
